"","educ","degree","rincome","wealth","poleff11","poleff18","poleff19","poleff20","polinter","news","newsfrom","polnews","partyid","grpparty","mobile16","marital","racecen1","race","region","sex","age","vote12bin"
"1",16,"bachelor",NA,NA,"agree",NA,NA,NA,"","never","family","5-6 days a week","not str republican",NA,"different state","divorced","white","white","new england","male",53,0
"2",16,"bachelor","$25000 or more","$150,000 to $250,000",NA,NA,NA,"disagree","","few times a week","the internet","","not str republican","belong but dont participate","different state","married","white","white","new england","female",26,1
"3",13,"high school",NA,NA,NA,"strongly agree",NA,"disagree","have not done it and would never do  it",NA,"tv",NA,"strong republican","belong and actively participate","same city","divorced","white","white","new england","male",62,1
"4",16,"bachelor","$25000 or more","$250,000 to $500,000","strongly disagree",NA,NA,NA,NA,"never","other",NA,"not str republican","used to belong","different state","married","white","white","new england","female",56,1
"5",17,"bachelor",NA,NA,"strongly agree",NA,NA,NA,NA,"less than once wk","the internet",NA,"independent","belong and actively participate","different state","married","white","white","new england","female",51,1
"6",17,"bachelor","$25000 or more","$250,000 to $500,000","strongly disagree",NA,NA,NA,NA,NA,NA,"","strong republican","belong but dont participate","same st,dif city","married","white","white","new england","female",56,1
"7",12,"high school","$25000 or more","$250,000 to $500,000","strongly disagree","strongly agree","agree",NA,"have not done it and would never do  it","few times a week","tv",NA,"strong republican","belong but dont participate","different state","married","white","white","new england","male",63,1
"8",17,"graduate","$25000 or more","$20,000 to $40,000","disagree",NA,NA,"strongly disagree","have done it in the past year","never","books other printed material","never","independent",NA,"different state","married","white","white","middle atlantic","male",34,0
"9",10,"lt high school",NA,"$100,000 to $150,000",NA,"neither agree nor disagree","neither agree nor disagree",NA,"have not done it and would never do  it","never","radio","once a day","independent",NA,"same city","never married","white","white","middle atlantic","female",37,0
"10",15,"junior college","$20000 - 24999",NA,NA,"neither agree nor disagree","strongly agree",NA,"have not done it but might do it","less than once wk",NA,"less than 1 day a week","independent","never belonged","same st,dif city","married","hispanic","other","middle atlantic","female",30,1
"11",5,"lt high school",NA,NA,NA,NA,"disagree","agree",NA,"never","newspapers","never","independent",NA,"different state","married","hispanic","other","middle atlantic","female",43,0
"12",11,"lt high school","$10000 - 14999","$40,000 to $75,000","agree",NA,NA,NA,NA,"once a week","tv",NA,"independent",NA,"same st,dif city","never married","white","white","middle atlantic","male",56,0
"13",8,"lt high school","$5000 to 5999","$75,000 to $100,000","strongly agree",NA,"disagree",NA,NA,NA,NA,"less than 1 day a week","independent","used to belong","same city","divorced","white","white","middle atlantic","male",69,0
"14",11,"high school","$20000 - 24999",NA,"strongly disagree",NA,"agree",NA,"have done it in the past year","less than once wk","radio","never","not str democrat","used to belong","same city","married","white","white","middle atlantic","female",40,1
